Category,snapshot,Mean_CLOC,Cumulative_CLOC
Full-stack Library,0,114444.5,114444.5
Full-stack Library,1,83549.9375,197994.4375
Full-stack Library,2,38466.0625,236460.5
Full-stack Library,3,206886.25,443346.75
Full-stack Library,4,11559.0625,454905.8125
Full-stack Library,5,15218.0,470123.8125
Full-stack Library,6,20046.375,490170.1875
Full-stack Library,7,15158.866666666667,505329.05416666664
Full-stack Library,8,13483.2,518812.25416666665
Full-stack Library,9,6492.071428571428,525304.3255952381
Compiler,0,345394.0,345394.0
Compiler,1,604102.6666666666,949496.6666666666
Compiler,2,193462.0,1142958.6666666665
Compiler,3,41937.333333333336,1184895.9999999998
Compiler,4,98444.33333333333,1283340.333333333
Compiler,5,15401.0,1298741.333333333
Compiler,6,434373.6666666667,1733114.9999999998
Compiler,7,8549.666666666666,1741664.6666666665
Compiler,8,226933.66666666666,1968598.3333333333
Compiler,9,202539.33333333334,2171137.6666666665
Cryptography,0,12998.25,12998.25
Cryptography,1,4965.666666666667,17963.916666666668
Cryptography,2,60264.333333333336,78228.25
Cryptography,3,248204.66666666666,326432.9166666666
Cryptography,4,94779.33333333333,421212.24999999994
Cryptography,5,21602.0,442814.24999999994
Cryptography,6,19702.333333333332,462516.58333333326
Cryptography,7,28436.666666666668,490953.24999999994
Cryptography,8,1214.6666666666667,492167.9166666666
Cryptography,9,1721.6666666666667,493889.5833333333
Quantum-Chemistry,0,291099.7894736842,291099.7894736842
Quantum-Chemistry,1,114980.94736842105,406080.7368421053
Quantum-Chemistry,2,69785.31578947368,475866.052631579
Quantum-Chemistry,3,115745.68421052632,591611.7368421053
Quantum-Chemistry,4,506005.5789473684,1097617.3157894737
Quantum-Chemistry,5,200221.2105263158,1297838.5263157894
Quantum-Chemistry,6,145263.63157894736,1443102.1578947369
Quantum-Chemistry,7,141329.84210526315,1584432.0
Quantum-Chemistry,8,115461.36842105263,1699893.3684210526
Quantum-Chemistry,9,189716.47368421053,1889609.8421052631
ToolKit,0,87474.90476190476,87474.90476190476
ToolKit,1,87204.1,174679.00476190477
ToolKit,2,31722.7,206401.70476190478
ToolKit,3,30303.65,236705.35476190477
ToolKit,4,32909.85,269615.2047619048
ToolKit,5,17739.722222222223,287354.926984127
ToolKit,6,23198.61111111111,310553.53809523815
ToolKit,7,63730.38888888889,374283.926984127
ToolKit,8,51144.555555555555,425428.4825396826
ToolKit,9,208935.44444444444,634363.926984127
Quantum Algorithsm,0,251605.85714285713,251605.85714285713
Quantum Algorithsm,1,163660.42857142858,415266.2857142857
Quantum Algorithsm,2,206420.2857142857,621686.5714285714
Quantum Algorithsm,3,104894.28571428571,726580.857142857
Quantum Algorithsm,4,89340.14285714286,815920.9999999999
Quantum Algorithsm,5,11560.785714285714,827481.7857142856
Quantum Algorithsm,6,7836.714285714285,835318.4999999999
Quantum Algorithsm,7,4552.0,839870.4999999999
Quantum Algorithsm,8,5474.846153846154,845345.346153846
Quantum Algorithsm,9,1217.4166666666667,846562.7628205126
Experimentation,0,27595.333333333332,27595.333333333332
Experimentation,1,73283.11111111111,100878.44444444444
Experimentation,2,77878.88888888889,178757.3333333333
Experimentation,3,22483.333333333332,201240.66666666666
Experimentation,4,19140.0,220380.66666666666
Experimentation,5,17663.375,238044.04166666666
Experimentation,6,8678.5,246722.54166666666
Experimentation,7,13481.75,260204.29166666666
Experimentation,8,7662.5,267866.7916666666
Experimentation,9,12472.0,280338.7916666666
Simulator,0,182301.35,182301.35
Simulator,1,95796.65,278098.0
Simulator,2,168081.4,446179.4
Simulator,3,45772.25,491951.65
Simulator,4,55256.25,547207.9
Simulator,5,22363.3,569571.2000000001
Simulator,6,60708.05,630279.2500000001
Simulator,7,77585.7,707864.9500000001
Simulator,8,43581.55,751446.5000000001
Simulator,9,8124.8421052631575,759571.3421052633
Quantum Annealing,0,792389.6666666666,792389.6666666666
Quantum Annealing,1,47095.833333333336,839485.5
Quantum Annealing,2,8563.166666666666,848048.6666666666
Quantum Annealing,3,5581.666666666667,853630.3333333333
Quantum Annealing,4,4817.166666666667,858447.4999999999
Quantum Annealing,5,2710.5,861157.9999999999
Quantum Annealing,6,2491.6666666666665,863649.6666666665
Quantum Annealing,7,2271.8333333333335,865921.4999999999
Quantum Annealing,8,972.1666666666666,866893.6666666665
Quantum Annealing,9,1229.2,868122.8666666665
Assembly,0,16025.0,16025.0
Assembly,1,9916.8,25941.8
Assembly,2,6444.0,32385.8
Assembly,3,8040.8,40426.6
Assembly,4,3194.6,43621.2
Assembly,5,6436.4,50057.6
Assembly,6,1527.0,51584.6
Assembly,7,2107.25,53691.85
Assembly,8,6800.25,60492.1
Assembly,9,75413.25,135905.35
